institute code,institute_name,place,district_code,co_education,college_type,branch_code,branch_name,OC_BOYS,OC_GIRLS,BC_A_BOYS,BC_A_GIRLS,BC_B_BOYS,BC_B_GIRLS,BC_C_BOYS,BC_C_GIRLS,BC_D_BOYS,BC_D_GIRLS,BC_E_BOYS,BC_E_GIRLS,SC_I_BOYS,SC_I_GIRLS,SC_II_BOYS,SC_II_GIRLS,SC_III_BOYS,SC_III_GIRLS,ST_BOYS,ST_GIRLS,EWS_BOYS,EWS_GIRLS,affiliated_to
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,59383,90473,100536,106669,109147,119534,59383,90473,99029,105500,113130,113130,59383,90473,110858,147118,137850,137850,145855,145855,122487,122487,JNTUH
AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,103928,103928,128784,128784,130130,130130,103928,103928,125590,145122,103928,147844,103928,103928,131394,146858,143453,143453,149700,149700,103928,103928,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,CIV,CIVIL ENGINEERING,107694,107694,142915,142915,144391,144391,107694,107694,147037,147037,147175,147175,107694,107694,126441,151240,141626,143709,141495,141495,107694,107694,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),59303,65640,133876,133876,133113,133113,59303,98447,114668,114668,129802,129802,124941,124941,148735,148735,137726,137736,143389,143389,90263,90263,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,79085,79085,133288,133288,121794,128157,79085,79085,102359,119519,119331,119331,79085,79085,147615,147615,132520,132520,138141,144115,126188,132332,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,84148,84148,84148,126040,109245,128570,115789,115789,84148,118119,115893,115893,150084,150084,122459,122459,114531,114531,111514,131572,130080,130080,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,105747,119611,136630,139575,141092,141092,105747,119611,130576,130576,141160,141160,105747,119611,141795,150636,139124,139124,136500,136500,105747,119611,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,MEC,MECHANICAL ENGINEERING,112179,112179,146069,146993,147325,147975,112179,112179,148340,148340,112179,112179,112179,112179,139788,139788,136271,143087,138375,149495,112179,112179,JNTUH
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,MIN,MINING ENGINEERING,105365,105365,107860,107860,108606,136918,137282,137282,105365,132603,105365,105365,121423,121423,130620,145070,105365,137010,127278,127278,113234,113234,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE (AUTONOMOUS),KODAD,SRP,COED,PVT,CIV,CIVIL ENGINEERING,84462,85170,136493,136493,151450,151450,84462,85170,110016,110016,84462,85170,84462,85170,147622,147622,84462,148679,144536,148485,84462,85170,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE (AUTONOMOUS),KODAD,SRP,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,43527,43527,92772,92772,72105,72105,43527,54753,53125,53125,75036,75036,43527,123634,125811,125811,90837,90837,135631,136681,74831,74831,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE (AUTONOMOUS),KODAD,SRP,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),45123,45123,94977,94977,61956,61956,60940,60940,60017,60017,90855,128196,117272,117272,141620,141620,127904,127904,113015,144605,66792,69989,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE (AUTONOMOUS),KODAD,SRP,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,73412,73412,134649,134649,118796,118796,118934,118934,95806,95806,118976,118976,149988,149988,149505,150823,139588,140567,150886,150886,105041,105041,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE (AUTONOMOUS),KODAD,SRP,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,70580,70580,133299,133299,121060,121060,70580,70580,107406,115489,118239,118239,70580,70580,145450,145450,100951,100951,151330,151330,109730,109730,JNTUH
ANRK,ANURAG ENGINEERING COLLEGE (AUTONOMOUS),KODAD,SRP,COED,PVT,INF,INFORMATION TECHNOLOGY,56645,56645,90677,133900,106649,106649,56645,56645,79570,82613,134640,134640,56645,56645,147001,147001,140568,140568,149807,149807,83937,110287,JNTUH
ANUG,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),GHATKESAR,MDL,COED,PVT,AI,ARTIFICIAL INTELLIGENCE,9932,10520,27392,27392,15337,15337,9932,10520,13037,13373,23730,29620,9932,10520,28594,28594,9932,31847,36018,36018,11522,11522,ANURAG UNIVERSITY
ANUG,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),GHATKESAR,MDL,COED,PVT,CIV,CIVIL ENGINEERING,52802,52802,93165,119982,70228,91391,52802,52802,64847,72217,73230,79717,52802,52802,116258,143812,86954,136560,96964,108237,69734,69734,ANURAG UNIVERSITY
ANUG,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),GHATKESAR,MDL,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,9684,9684,25594,25594,14334,14334,17724,23551,13070,13368,22466,30796,35036,35036,33660,33660,22433,25762,36869,42536,10951,10951,ANURAG UNIVERSITY
ANUG,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),GHATKESAR,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,18658,18658,41325,41325,24979,24979,78404,78404,23946,23946,48992,48992,132797,141276,74553,76172,44417,44417,55802,66326,21282,21282,ANURAG UNIVERSITY
ANUG,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),GHATKESAR,MDL,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,30799,33398,86844,86844,41876,43443,30799,33398,38120,44817,78498,99113,106012,136465,103749,136353,81245,81245,88358,96999,44165,44165,ANURAG UNIVERSITY
ANUG,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),GHATKESAR,MDL,COED,PVT,INF,INFORMATION TECHNOLOGY,14783,14783,36510,36510,19923,19923,62519,85719,18148,18148,34403,38415,14783,74075,59530,61510,32889,32889,52156,68323,15764,15764,ANURAG UNIVERSITY
ANUG,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),GHATKESAR,MDL,COED,PVT,MEC,MECHANICAL ENGINEERING,48242,62649,98957,106217,64990,105777,48242,62649,67633,82086,94199,95515,48242,62649,133957,146856,82912,133377,107300,142411,55178,95914,ANURAG UNIVERSITY
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE (AUTONOMOUS),BATASINGARA M,RR,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,51105,51105,102615,120377,67111,81620,68607,68607,66147,67309,90820,90820,57521,57521,137970,139096,79648,91664,139531,139531,72356,72356,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE (AUTONOMOUS),BATASINGARA M,RR,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),59996,59996,132842,132842,86485,89917,59996,59996,80586,80586,110411,130870,59996,59996,141806,141806,112837,138890,142380,150936,73703,83232,JNTUH
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE (AUTONOMOUS),BATASINGARA M,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,82109,82109,100848,105165,104341,109831,82109,82109,98384,103921,98434,98434,82109,82109,145369,145369,111303,141286,148284,148284,113465,113465,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,CIV,CIVIL ENGINEERING,90049,90049,151374,151374,151359,151720,90049,90049,151634,151634,90049,90049,90049,90049,149540,150746,150137,150137,151264,151264,90049,90049,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),73840,73840,113976,113976,94216,94216,73840,77289,85982,86518,131004,131004,73840,79749,141171,141171,135769,137921,143931,144407,96864,100596,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,58764,68136,110391,110391,83664,83664,58764,68136,75835,75835,98775,127071,58764,68136,136449,136449,114495,137234,137818,145589,81405,81405,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),66667,66667,119012,126831,87787,89645,68592,68592,83828,83828,107891,107891,139294,139294,138993,138993,122890,122890,125892,149486,91465,95787,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,78918,93941,125577,125577,102935,107517,91607,93941,94292,108032,107594,107594,78918,93941,145203,145203,78918,141323,147707,148063,113430,117010,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,114971,115321,115128,116959,124812,128401,114971,115321,114971,116219,127545,127545,114971,115321,146577,150144,141916,141916,149220,149220,124525,126172,JNTUH
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,88773,109466,150708,150708,150465,150465,88773,109466,88773,109466,88773,126454,88773,109466,149945,149945,88773,148877,130272,130272,88773,109466,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,36379,39121,81011,81011,49596,56111,36379,60086,55487,59135,57404,57404,121721,121721,108559,134707,82555,112217,112624,113123,45513,58033,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,34849,36060,85572,85572,54817,54817,50263,50263,49755,49755,74319,117909,85142,140923,108009,130664,86285,86285,105915,108516,57177,57177,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,35379,35379,92120,110069,57584,57584,35379,52573,53108,53108,127446,127446,135467,135467,131346,131346,95773,121150,92169,143609,58634,61385,JNTUH
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,MEC,MECHANICAL ENGINEERING,73427,112693,123188,130135,117946,117946,73427,112693,95047,134058,117676,129854,73427,112693,143265,143265,138514,149020,142779,143616,130433,130433,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),74430,74430,121388,128355,89933,89933,77470,77470,84570,84570,132997,132997,74430,84368,139132,141519,114206,138751,142846,143642,94033,94033,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),65218,72250,125307,125307,87300,92224,65218,72250,83402,83886,131009,132301,65218,72250,138253,138253,116514,116514,140905,150355,90703,90703,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,67614,67614,122489,122789,87996,87996,80389,80389,79198,82229,125483,131332,128920,128920,138106,138106,127617,136561,141478,144620,90127,90127,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),65107,65107,106706,115755,83229,83229,65107,66734,70562,70562,65107,65107,65107,75433,135986,135986,124429,124429,141279,141279,88549,88549,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,79961,79961,135264,135264,97266,97833,79961,79961,91147,93821,100722,100771,79961,89612,144284,145764,141505,141684,145846,146750,100668,102713,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,92931,94325,109707,109707,117725,117725,105318,105318,92931,104918,92931,94325,111099,111099,92931,146199,141603,141603,144576,144576,131848,131848,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY (AUTONOMOUS),HAYATHNAGAR,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,101070,101070,114089,148211,131602,147901,147225,147225,127387,147940,101070,111031,101070,101070,149884,149884,101070,151677,146934,150795,101070,101070,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,51674,52292,59245,108302,70134,70134,67734,67734,67525,67525,104267,104267,51674,52292,125907,144459,91935,91935,132866,146816,65810,65810,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CIV,CIVIL ENGINEERING,76757,76757,123068,123068,96965,108242,97295,97295,94441,94441,76757,76757,95241,95241,147223,149695,76757,76757,141804,141804,123584,123584,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),52839,52839,101851,101851,72655,72655,69954,69954,65206,72479,80564,80564,52839,52839,135490,141590,96858,96858,138219,147647,71625,71625,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),57472,57472,100902,100902,73288,76375,61211,68707,71967,71967,100895,105108,57472,139607,137643,137879,114604,120632,137723,150026,66714,66714,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,48753,48753,86178,90823,66344,66344,52377,52377,57539,60039,88430,104580,124224,124224,112743,112743,93183,104830,113974,140605,59623,59623,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),54298,54298,91794,91794,69618,69618,91801,91801,67662,67662,72912,119459,145143,145143,127694,127694,107038,111711,135790,149174,62939,62939,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,71540,72587,116175,125818,87047,87047,71540,83219,76418,83084,122707,126484,71540,145137,140877,140877,139065,139065,142265,148880,82371,89304,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,72453,105587,115390,115390,112704,112704,72453,105587,103962,112447,133562,133562,72453,105587,146518,148026,139867,140353,141821,145408,115868,115868,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNA M,RR,COED,PVT,CSC,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),48530,53672,103768,134766,80568,80568,48530,53672,74723,74723,96349,134302,48530,53672,135776,142390,135854,137602,136593,149407,75335,82324,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNA M,RR,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),63665,63665,105387,126835,80178,83262,63665,63665,76754,76754,109196,109196,63665,63665,138315,138315,111483,138049,139960,145784,77390,78167,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNA M,RR,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,54921,54921,116320,116320,74704,77190,72130,72130,70913,70913,95899,118103,139120,139120,139007,139021,102241,119373,138644,144764,74782,74782,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNA M,RR,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),58572,59348,117983,124197,78963,82077,74773,74773,74636,76183,103787,103787,63266,63266,141966,141966,96063,138166,141225,150241,76016,76016,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNA M,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,77193,77193,134258,134258,100841,101239,77193,80813,92673,92673,131658,135115,146745,146745,146743,146743,136781,140659,147168,148508,101008,101008,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNA M,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,51070,94170,114254,114254,110879,110879,51070,94170,98629,98629,94942,94942,51070,146072,141717,143119,138391,141287,137058,137953,87175,116672,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNA M,RR,COED,PVT,INF,INFORMATION TECHNOLOGY,66630,66630,131300,131300,91504,95171,75388,75388,88124,88124,128575,131165,66630,66630,145379,145746,123924,139599,144103,144103,89373,89910,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNA M,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,86754,86754,86754,125944,105156,110661,108431,108431,119221,119221,86754,86754,144501,144501,142547,149762,144145,144145,139488,139695,103789,104562,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,CIV,CIVIL ENGINEERING,103172,103172,103172,135892,103172,144847,103172,103172,103172,103172,150476,150476,103172,103172,150815,150815,103172,103172,103172,103172,103172,103172,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),86719,86719,130602,130602,116707,116707,91758,91758,104998,104998,135300,135300,86719,86719,150292,150360,143596,149951,147258,150996,135171,135171,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,CSE,COMPUTER SCIENCE AND ENGINEERING,72769,72769,133450,133450,105842,105842,90965,90965,90016,90016,135356,135356,145788,145788,145409,145409,146257,146257,149513,149513,126306,132434,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),76909,76909,110181,110181,108913,108913,96688,96688,96381,96381,125131,125131,151056,151056,151664,151664,143178,146543,151600,151600,133853,133853,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS),NARSAMPET,WGL,COED,PVT,CSW,COMPUTER ENGINEERING(SOFTWARE ENGINEERING),66034,66034,129400,129400,131136,131136,130486,130486,124625,124625,135012,135012,124061,124061,112643,128556,66034,66034,66034,129688,66034,66034,JNTUH
